年度,移动用户,城镇电话用户,城镇住宅电话用户,乡村电话用户,乡村住宅电话用户
2000,8453 ,9312 ,7219 ,5171 ,4598 
2001,14522 ,11194 ,8535 ,6843 ,6198 
2002,20601 ,13579 ,10197 ,7843 ,7184 
2003,0 ,17110 ,0 ,9165 ,8390 
2004,33482 ,21025 ,15247 ,10151 ,9241 
2005,39341 ,23975 ,17201 ,0 ,10024 
2006,46106 ,0 ,17698 ,11646 ,10562 
2007,54731 ,24860 ,16988 ,11704 ,10533 
2008,64125 ,23156 ,15588 ,10880 ,9612 
2009,74721 ,21190 ,12970 ,10183 ,8813 
2010,85900 ,19658 ,11973 ,9776 ,8325 
2011,98625 ,19122 ,11412 ,9388 ,7861 
2012,111216 ,18893 ,11013 ,8922 ,7316 
2013,122911 ,18457 ,10474 ,8242 ,6643 
2014,0 ,17628 ,9896 ,7315 ,5769 
2015,127140 ,17321 ,9241 ,5779 ,0 
